Time, Demand_Percentage (%), Prediction_Horizon (min), CAV_Penetration (%), Overall_Travel_Time (s), Overall_Fuel_Used (gallon), Overall_Electricity_Used (kWh), Overall_Fuel_Cost ($), Overall_Electricity_Cost ($), Travel_Time_ICE (s), Travel_Time_BEV (s), Travel_Time_PHEV (s), Travel_Time_HFCV (s), Travel_Time_ICE_NONCAV (s), Travel_Time_BEV_NONCAV (s), Travel_Time_PHEV_NONCAV (s), Travel_Time_HFCV_NONCAV (s), Fuel_Used_ICE (gallon), Fuel_Used_BEV (gallon), Fuel_Used_PHEV (gallon), Fuel_Used_HFCV (gallon), Fuel_Used_ICE_NONCAV (gallon), Fuel_Used_BEV_NONCAV (gallon), Fuel_Used_PHEV_NONCAV (gallon), Fuel_Used_HFCV_NONCAV (gallon), Electricity_Used_ICE (kWh), Electricity_Used_BEV (kWh), Electricity_Used_PHEV (kWh), Electricity_Used_HFCV (kWh), Electricity_Used_ICE_NONCAV (kWh), Electricity_Used_BEV_NONCAV (kWh), Electricity_Used_PHEV_NONCAV (kWh), Electricity_Used_HFCV_NONCAV (kWh)
2.02307E+13,100,0,0,2.12E+07,5330.49,2069.75,18656.7,517.439,0,0,0,0,1.99E+07,662406,431758,215489,0,0,0,0,5330.49,0,0.0021664,0,0,0,0,0,0,953.698,719.949,396.107
2.02307E+13,100,0,10,2.05E+07,5236.02,2028.1,18326.1,507.026,1.86E+06,74911,44252,15901,1.73E+07,592182,414187,204255,539.117,0,9.49E-05,0,4696.9,0,0.00238445,0,0,94.7255,54.6055,30.4569,0,805.397,679.538,363.38
2.02307E+13,100,0,20,2.13E+07,5409.19,2004.88,18932.2,501.22,3.78E+06,144251,79743,53999,1.62E+07,523723,333774,148236,1075.48,0,0.000365172,0,4333.71,0,0.00166246,0,0,172.438,112.168,93.3755,0,752.93,585.947,288.02
2.02307E+13,100,0,30,2.09E+07,5381.26,2133.89,18834.4,533.472,5.58E+06,217576,149704,59339,1.40E+07,487911,338943,140615,1589.75,0,0.000408201,0,3791.51,0,0.00177044,0,0,244.642,220.42,120.901,0,714.329,560.909,272.687
2.02307E+13,100,0,40,2.15E+07,5483.47,1969.84,19192.1,492.46,7.72E+06,333653,224301,78919,1.23E+07,441712,290924,123489,2180.86,0,0.000198719,0,3302.61,0,0.00182656,0,0,266.39,233.817,105.951,0,650.728,488.144,224.809
2.02307E+13,100,0,50,2.07E+07,5467.63,1990.57,19136.7,497.643,9.61E+06,334199,246653,96941,9.82E+06,296390,227337,108001,2749.3,0,0.000676521,0,2718.33,0,0.000766662,0,0,424.208,355.034,184.33,0,442.956,393.636,190.408
2.02307E+13,100,0,60,2.16E+07,5546.3,1976.52,19412.1,494.13,1.20E+07,407551,270690,136338,8.23E+06,263743,182961,91977,3325.82,0,0.000652606,0,2220.48,0,0.000762652,0,0,495.929,418.553,249.115,0,357.989,283.603,171.331
2.02307E+13,100,0,70,2.18E+07,5598.2,1969.38,19593.7,492.344,1.42E+07,483043,349312,181915,6.14E+06,187510,158248,69232,3937.38,0,0.000843834,0,1660.81,0,0.000912237,0,0,579.301,438.817,289.013,0,273.548,244.463,144.235
2.02307E+13,100,0,80,2.17E+07,5658.24,1978.28,19803.9,494.57,1.63E+07,534398,346874,196949,4.04E+06,153637,85300,58863,4543.72,0,0.000575145,0,1114.52,0,0.00121574,0,0,682.478,459.663,360.099,0,234.325,150.485,91.2292
2.02307E+13,100,0,90,2.26E+07,5871.96,1893.98,20551.9,473.494,1.90E+07,610797,403540,214870,2.13E+06,75052,51800,22889,5292.9,0,0.00106717,0,579.059,0,0.000490128,0,0,742.56,557.98,355.145,0,98.0403,96.8329,43.4172
2.02307E+13,100,0,100,2.23E+07,5792.61,1658.14,20274.1,414.536,2.07E+07,836694,545563,273224,0,0,0,0,5792.6,0,0.000976807,0,0,0,0,0,0,699.661,576.539,381.943,0,0,0,0
20230718125750,100,5,0,2.11461e+07,5300.65,2036.37,18552.3,509.093,0,0,0,0,1.9811e+07,671439,447690,216063,0,0,0,0,5300.65,0,0.00189252,0,0,0,0,0,0,931.072,710.809,394.493
20230718125953,100,5,10,2.0497e+07,5254.24,2060.58,18389.8,515.146,1.96739e+06,80594,40383,17420,1.72025e+07,578681,409305,200660,550.19,0,0.000201292,0,4704.05,0,0.00319705,0,0,91.5712,58.962,31.0088,0,807.614,704.455,366.974
20230718130156,100,5,20,2.08168e+07,5326.55,2028.58,18642.9,507.145,3.90914e+06,143276,73209,52030,1.56644e+07,503654,326373,144708,1071.65,0,9.99751e-05,0,4254.89,0,0.00186479,0,0,176.762,117.904,97.6684,0,753.122,598.214,284.912
20230718130412,100,5,30,2.13284e+07,5358.43,2079.45,18754.5,519.863,6.09174e+06,225588,146624,63359,1.38381e+07,477683,345032,140306,1624.26,0,0.000480977,0,3734.17,0,0.00172663,0,0,246.326,209.455,119.408,0,701.686,536.923,265.655
20230718130615,100,5,40,2.04978e+07,5326.65,2034.37,18643.3,508.592,7.76958e+06,261448,175896,63496,1.14204e+07,413320,270417,123308,2168.91,0,0.000392614,0,3157.74,0,0.00130381,0,0,336.263,259.038,101.896,0,630.691,489.254,217.226
20230718130832,100,5,50,2.33968e+07,5626.89,1834.59,19694.1,458.647,1.11828e+07,339716,285548,113208,1.08004e+07,347626,218962,108456,2858.03,0,9.44932e-05,0,2768.85,0,0.00153817,0,0,406.878,307.806,174.444,0,392.492,367.849,185.12
20230718131046,100,5,60,2.09141e+07,5546.98,2026.83,19414.4,506.707,1.18266e+07,387101,271346,132403,7.80296e+06,237771,171848,84074,3341.72,0,0.00110381,0,2205.26,0,0.00180007,0,0,510.265,421.148,251.18,0,376.357,293.398,174.481
20230718131303,100,5,70,2.08022e+07,5524.71,2068.46,19336.5,517.115,1.38451e+07,463456,315780,148828,5.64723e+06,174780,145076,61969,3905.96,0,0.000977024,0,1618.75,0,0.000481782,0,0,603.337,488.041,295.386,0,274.343,265.555,141.798
20230718131524,100,5,80,2.21207e+07,5634.19,1938.13,19719.7,484.533,1.66972e+07,527821,360292,205489,4.04446e+06,142781,89471,53191,4529.03,0,0.000197736,0,1105.16,0,0.000571608,0,0,676.513,447.14,356.353,0,214.89,145.405,97.8296
20230718131743,100,5,90,2.16027e+07,5627.68,1888.68,19696.9,472.171,1.82983e+07,585045,382517,204764,1.97782e+06,71028,61588,21666,5081.79,0,0.00173243,0,545.886,0,0.000853903,0,0,749.386,559.966,357.142,0,90.6839,85.8869,45.6197
20230718132000,100,5,100,2.13124e+07,5738.64,2050.38,20085.2,512.596,2.00405e+07,643087,420082,208779,0,0,0,0,5738.64,0,0.00333689,0,0,0,0,0,0,902.145,733.938,414.301,0,0,0,0
20230718132211,100,10,0,2.13221e+07,5461.68,2138.18,19115.9,534.544,0,0,0,0,1.99864e+07,666336,452816,216544,0,0,0,0,5461.68,0,0.00224482,0,0,0,0,0,0,989.561,736.609,412.007
20230718132424,100,10,10,2.12441e+07,5433.16,2089.66,19016.1,522.415,2.04297e+06,83183,43092,15440,1.78309e+07,603054,416286,209125,566.878,0,0,0,4866.28,0,0.00199926,0,0,94.0315,53.0871,29.7408,0,826.504,698.607,387.69
20230718132633,100,10,20,2.09113e+07,5453.28,2095.85,19086.5,523.962,3.89538e+06,141261,75622,47028,1.57751e+07,507173,329216,140502,1092.08,0,9.76651e-05,0,4361.2,0,0.00217081,0,0,181.714,122.407,101.522,0,779.19,626.403,284.611
20230718132851,100,10,30,2.08502e+07,5480.2,2210.01,19180.7,552.503,5.90418e+06,210404,134472,60586,1.35839e+07,477052,338716,140932,1654.34,0,0.000587401,0,3825.86,0,0.00271928,0,0,259.431,231.209,120.496,0,738.235,583.436,277.203
20230718133100,100,10,40,2.08577e+07,5500.66,2062.63,19252.3,515.658,7.92267e+06,255281,183039,68981,1.16221e+07,425933,263655,116093,2233.18,0,0.000843492,0,3267.48,0,0.0023061,0,0,334.207,258.981,109.654,0,650.983,488.032,220.773
20230718133321,100,10,50,2.33595e+07,5750.35,1922.12,20126.2,480.53,1.11889e+07,333995,274904,108914,1.0758e+07,353340,231417,110103,2923.42,0,0.000452029,0,2826.92,0,0.00167129,0,0,422.849,330.152,185.116,0,410.387,378.694,194.921
20230718133535,100,10,60,2.12333e+07,5647.23,2046.97,19765.3,511.743,1.20326e+07,395703,265451,131660,7.92452e+06,233454,165523,84374,3404.79,0,0.00139188,0,2242.44,0,0.00226149,0,0,520.159,424.947,251.117,0,378.415,299.512,172.822
20230718133747,100,10,70,2.0508e+07,5605.01,2149.95,19617.5,537.488,1.36001e+07,441810,318027,155894,5.60996e+06,173097,148689,60413,3956.98,0,0.00157757,0,1648.03,0,0.00146761,0,0,638.364,504.661,305.187,0,287.149,272.441,142.151
20230718133959,100,10,80,2.10667e+07,5654.47,2068.96,19790.6,517.239,1.59044e+07,502978,328927,184667,3.86855e+06,140450,82229,54465,4546.62,0,0.000536037,0,1107.85,0,0.000783661,0,0,719.753,481.856,372.933,0,247.257,147.376,99.7798
20230718134220,100,10,90,2.3142e+07,5817.65,1861.03,20361.8,465.258,1.96807e+07,597484,418512,218005,2.06979e+06,75737,58268,23508,5259.15,0,0.00136556,0,558.49,0,0.00025087,0,0,738.801,534.713,363.297,0,92.7418,85.1718,46.3084
20230718134434,100,10,100,2.14079e+07,5764.1,2019.74,20174.4,504.934,2.01265e+07,653812,424185,203382,0,0,0,0,5764.1,0,0.00190271,0,0,0,0,0,0,892.488,723.654,403.594,0,0,0,0
20230718134641,100,15,0,2.07165e+07,5461.7,2167.51,19116,541.877,0,0,0,0,1.94196e+07,646480,442206,208197,0,0,0,0,5461.7,0,0.00235038,0,0,0,0,0,0,1003.05,754.734,409.729
20230718134845,100,15,10,1.99359e+07,5381.89,2227.06,18836.6,556.766,1.91527e+06,73964,39299,15916,1.67072e+07,567849,406552,209771,562.141,0,0,0,4819.74,0,0.00245824,0,0,102.102,65.0273,32.0861,0,880.154,755.134,392.561
20230718135050,100,15,20,2.0695e+07,5476.15,2096.55,19166.5,524.138,3.83045e+06,130047,74376,46961,1.56083e+07,518993,348638,137169,1089.58,0,0,0,4386.56,0,0.00172292,0,0,185.01,124.54,101.166,0,773.521,620.211,292.105
20230718135258,100,15,30,2.08566e+07,5514.55,2227.16,19300.9,556.79,5.8515e+06,221119,139634,66160,1.36342e+07,464191,336562,143269,1652.31,0,0.000388468,0,3862.24,0,0.00279565,0,0,257.486,235.582,125.636,0,738.215,595.882,274.357
20230718135506,100,15,40,2.04274e+07,5546.91,2153.66,19414.2,538.415,7.73195e+06,257963,180834,68453,1.13872e+07,405403,270828,124820,2248.72,0,0.000378901,0,3298.18,0,0.00240375,0,0,355.006,274.355,113.74,0,665.798,506.26,238.499
20230718135726,100,15,50,2.32945e+07,5729.39,1922.74,20052.9,480.684,1.1155e+07,334748,274557,114895,1.07472e+07,338953,221952,107144,2906.29,0,0.000779922,0,2823.1,0,0.00115918,0,0,429.045,326.464,186.134,0,415.345,382.673,183.075
20230718135943,100,15,60,2.198e+07,5657.33,2020.57,19800.7,505.141,1.23826e+07,410218,300098,139692,8.24348e+06,248197,172294,83471,3403.08,0,0.000778679,0,2254.25,0,0.00132072,0,0,517.586,410.404,250.086,0,364.991,296.047,181.451
20230718140152,100,15,70,2.05105e+07,5664.58,2169.35,19826,542.339,1.36442e+07,447273,321849,151631,5.56394e+06,172185,148682,60761,4009.6,0,0.00099696,0,1654.97,0,0.00118438,0,0,652.718,501.416,297.952,0,299.58,273.401,144.287
20230718140405,100,15,80,2.17177e+07,5653.87,1995.3,19788.5,498.826,1.64396e+07,504542,354318,192404,3.96063e+06,132322,81984,51867,4544.85,0,0.000386575,0,1109.02,0,0.000296184,0,0,716.004,460.258,351.718,0,214.379,153.21,99.7358
20230718140614,100,15,90,2.08238e+07,5656.63,1964.32,19798.2,491.08,1.76559e+07,537789,346940,196755,1.941e+06,71466,53248,20667,5101.49,0,0.00152236,0,555.13,0,0.000632783,0,0,785.227,592.512,360.733,0,89.7779,91.8509,44.2175
20230718140833,100,15,100,2.2721e+07,5750.93,1745.2,20128.2,436.3,2.11499e+07,786551,523862,260670,0,0,0,0,5750.93,0,0.00185534,0,0,0,0,0,0,747.615,600.202,397.384,0,0,0,0
20230718141039,100,20,0,1.99094e+07,5391.77,2209.86,18871.2,552.464,0,0,0,0,1.86692e+07,620340,416397,203437,0,0,0,0,5391.77,0,0.00295659,0,0,0,0,0,0,1028.84,761.093,419.918
20230718141242,100,20,10,1.95861e+07,5367.97,2250.75,18787.9,562.688,1.89319e+06,77482,40598,15745,1.64175e+07,556862,395901,188804,559.622,0,9.36763e-05,0,4808.35,0,0.00323346,0,0,106.778,62.6757,32.6473,0,899.983,753.437,395.23
20230718141446,100,20,20,1.99145e+07,5446.03,2166.94,19061.1,541.735,3.74135e+06,141180,70181,45564,1.49531e+07,491755,335697,135692,1092.36,0,0.000306817,0,4353.67,0,0.00338417,0,0,187.981,124.137,101.111,0,816.666,636.63,300.415
20230718141655,100,20,30,2.0054e+07,5481.85,2288.12,19186.5,572.03,5.70563e+06,216044,129307,59771,1.30417e+07,446220,319446,135867,1652.92,0,0.000198457,0,3828.94,0,0.00155415,0,0,264.485,236.491,129.33,0,764.671,617.198,275.946
20230718145113,10,0,100,1.2555e+06,217.365,2316.18,760.776,579.046,594382,40663,612183,8276,0,0,0,0,217.363,0,0.00143323,0,0,0,0,0,0,134.911,2154.15,27.1247,0,0,0,0
20230718145350,10,0,100,1.1927e+06,0.00200571,4333.18,0.00701999,1083.29,0,0,612501,0,0,0,580203,0,0,0,0.00085528,0,0,0,0.00115043,0,0,0,2154.99,0,0,0,2178.19,0
